fold,dataset_version,evaluation,split,accuracy,dataset_distance_to_benchmark
3,chance_100/change_25,alt_model,val,0.95625,0.013207191780821918
4,chance_100/change_25,alt_model,val,0.96875,0.013207191780821918
0,chance_100/change_25,benchmark_model,test,0.625,0.013207191780821918
1,chance_100/change_25,benchmark_model,test,0.58,0.013207191780821918
2,chance_100/change_25,benchmark_model,test,0.65,0.013207191780821918
3,chance_100/change_25,benchmark_model,test,0.6,0.013207191780821918
4,chance_100/change_25,benchmark_model,test,0.63,0.013207191780821918
0,chance_100/change_25,benchmark_model,val,0.63125,0.013207191780821918
1,chance_100/change_25,benchmark_model,val,0.5875,0.013207191780821918
2,chance_100/change_25,benchmark_model,val,0.6,0.013207191780821918
3,chance_100/change_25,benchmark_model,val,0.59375,0.013207191780821918
4,chance_100/change_25,benchmark_model,val,0.6125,0.013207191780821918
0,chance_100/change_30,alt_model,test,0.9,0.010323972602739727
1,chance_100/change_30,alt_model,test,0.865,0.010323972602739727
2,chance_100/change_30,alt_model,test,0.885,0.010323972602739727
3,chance_100/change_30,alt_model,test,0.9,0.010323972602739727
4,chance_100/change_30,alt_model,test,0.88,0.010323972602739727
0,chance_100/change_30,alt_model,val,0.85,0.010323972602739727
1,chance_100/change_30,alt_model,val,0.8875,0.010323972602739727
2,chance_100/change_30,alt_model,val,0.91875,0.010323972602739727
3,chance_100/change_30,alt_model,val,0.8625,0.010323972602739727
4,chance_100/change_30,alt_model,val,0.8875,0.010323972602739727
0,chance_100/change_30,benchmark_model,test,0.525,0.010323972602739727
1,chance_100/change_30,benchmark_model,test,0.64,0.010323972602739727
2,chance_100/change_30,benchmark_model,test,0.485,0.010323972602739727
3,chance_100/change_30,benchmark_model,test,0.485,0.010323972602739727
4,chance_100/change_30,benchmark_model,test,0.505,0.010323972602739727
0,chance_100/change_30,benchmark_model,val,0.4875,0.010323972602739727
1,chance_100/change_30,benchmark_model,val,0.63125,0.010323972602739727
2,chance_100/change_30,benchmark_model,val,0.49375,0.010323972602739727
3,chance_100/change_30,benchmark_model,val,0.48125,0.010323972602739727
4,chance_100/change_30,benchmark_model,val,0.49375,0.010323972602739727
0,chance_100/change_35,alt_model,test,0.905,0.021273287671232877
1,chance_100/change_35,alt_model,test,0.93,0.021273287671232877
2,chance_100/change_35,alt_model,test,0.87,0.021273287671232877
3,chance_100/change_35,alt_model,test,0.925,0.021273287671232877
4,chance_100/change_35,alt_model,test,0.92,0.021273287671232877
